STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"09","005","51350","00213470","0900551350",New Hartford,New Hartford town,"43",T1,G4040,"790","73450",,A,"95927210","2940726","+41.8410525","-072.9986640"
"09","005","52630","00213474","0900552630",New Milford,New Milford town,"43",T1,G4040,"720","72850",,A,"159446315","5617318","+41.6012671","-073.4228070"
"09","005","53470","00213476","0900553470",Norfolk,Norfolk town,"43",T1,G4040,,,,A,"117436917","2861079","+41.9697726","-073.1784393"
"09","005","54030","00213478","0900554030",North Canaan,North Canaan town,"43",T1,G4040,,,,A,"50176807","268569","+42.0205944","-073.2962455"
"09","005","67960","00213503","0900567960",Sharon,Sharon town,"43",T1,G4040,,,,A,"152201015","2058011","+41.8607627","-073.4492152"
"09","005","75730","00213515","0900575730",Thomaston,Thomaston town,"43",T1,G4040,"790","73450",,A,"31050035","561748","+41.6649440","-073.0963247"
"09","005","76570","00213517","0900576570",Torrington,Torrington town,"43",T5,G4040,"790","78400",,C,"102982068","1441410","+41.8341999","-073.1314705"
"09","005","79510","00213523","0900579510",Warren,Warren town,"43",T1,G4040,,,,A,"68132140","3219783","+41.7358548","-073.3428314"
"09","005","79720","00213524","0900579720",Washington,Washington town,"43",T1,G4040,,,,A,"98602270","1482946","+41.6561747","-073.3101747"
"09","005","80490","00213527","0900580490",Watertown,Watertown town,"43",T1,G4040,"720","78700",,A,"75139016","1304969","+41.6172455","-073.1143619"
"09","005","86440","00213536","0900586440",Winchester,Winchester town,"43",T1,G4040,"790","78400",,A,"84213566","3386147","+41.9272131","-073.1093363"
"09","005","87910","00213540","0900587910",Woodbury,Woodbury town,"43",T1,G4040,,,,A,"94168479","736698","+41.5616321","-073.2060959"
"09","009","87560","00213538","0900987560",Wolcott,Wolcott town,"43",T1,G4040,"720","78700",,A,"52905034","1756476","+41.5950295","-072.9685135"
"09","015","73420","00213512","0901573420",Sterling,Sterling town,"43",T1,G4040,"715","79600",,A,"70499824","171521","+41.7012000","-071.8159882"
"09","015","75870","00213516","0901575870",Thompson,Thompson town,"43",T1,G4040,"715","79600",,A,"121489044","4537398","+41.9902867","-071.8670243"
"09","015","88190","00213541","0901588190",Woodstock,Woodstock town,"43",T1,G4040,"715","79600",,A,"157165209","3070895","+41.9662084","-072.0227864"
"09","009","03250","00213387","0900903250",Beacon Falls,Beacon Falls town,"43",T1,G4040,"720","78700",,A,"25055586","301401","+41.4436850","-073.0519252"
"09","011","66210","00213499","0901166210",Salem,Salem town,"43",T1,G4040,,"76450",,A,"74924895","2172864","+41.4893505","-072.2583804"
"09","011","71670","00213510","0901171670",Sprague,Sprague town,"43",T1,G4040,,"76450",,A,"34294886","1491928","+41.6355702","-072.0775268"
"09","011","78600","00213521","0901178600",Voluntown,Voluntown town,"43",T1,G4040,,"76450",,A,"100924002","2137004","+41.5791925","-071.8312276"
"09","011","80280","00213526","0901180280",Waterford,Waterford town,"43",T1,G4040,,"76450",,A,"84696754","30653701","+41.3516858","-072.1468340"
"09","015","62710","00213494","0901562710",Putnam,Putnam town,"43",T1,G4040,"715","79600",,A,"52588042","282510","+41.9080271","-071.8704519"
"09","003","65370","00213497","0900365370",Rocky Hill,Rocky Hill town,"43",T1,G4040,"790","73450",,A,"34867960","997339","+41.6566243","-072.6617787"
"09","003","74540","00212351","0900374540",Suffield,Suffield town,"43",T1,G4040,"790","78100",,A,"109525831","1739693","+41.9999149","-072.6787509"
"09","007","18080","00213414","0900718080",Cromwell,Cromwell town,"43",T1,G4040,"790","73450",,A,"32251180","1291345","+41.6166088","-072.6615596"
"09","007","20810","00213419","0900720810",Durham,Durham town,"43",T1,G4040,"720","75700",,A,"61276967","395266","+41.4689218","-072.6845254"
"09","011","42600","00213450","0901142600",Ledyard,Ledyard town,"43",T1,G4040,,"76450",,A,"98968751","4635709","+41.4311315","-072.0203029"
"09","009","35650","00213440","0900935650",Hamden,Hamden town,"43",T1,G4040,"720","75700",,A,"84513849","1766055","+41.3973285","-072.9222256"
"09","009","46520","00213458","0900946520",Meriden,Meriden town,"43",T5,G4040,"720","75700",,C,"61466952","940444","+41.5367771","-072.7945433"
"09","013","01080","00213382","0901301080",Andover,Andover town,"43",T1,G4040,"790","73450",,A,"40012484","635900","+41.7329821","-072.3746584"
"09","013","16400","00213411","0901316400",Columbia,Columbia town,"43",T1,G4040,"790","73450",,A,"55355051","1587988","+41.6937069","-072.3056713"
"09","013","17800","00213413","0901317800",Coventry,Coventry town,"43",T1,G4040,"790","73450",,A,"97308019","1744460","+41.7802124","-072.3437580"
"09","013","44910","00213456","0901344910",Mansfield,Mansfield town,"43",T1,G4040,"790","73450",,A,"115605879","2640719","+41.7892725","-072.2284642"
"09","005","65930","00213498","0900565930",Roxbury,Roxbury town,"43",T1,G4040,"720","72850",,A,"68102992","161539","+41.5555325","-073.2960259"
"09","005","66420","00213500","0900566420",Salisbury,Salisbury town,"43",T1,G4040,,,,A,"148239632","7341280","+41.9862260","-073.4252735"
"09","009","52070","00213471","0900952070",New Haven,New Haven town,"43",T5,G4040,"720","75700",,C,"48407074","3738291","+41.3108088","-072.9249530"
"09","009","53890","00213477","0900953890",North Branford,North Branford town,"43",T1,G4040,"720","75700",,A,"64123452","4939189","+41.3622568","-072.7834624"
"09","009","54870","00213479","0900954870",North Haven,North Haven town,"43",T1,G4040,"720","75700",,A,"53974694","714453","+41.3814653","-072.8563709"
"09","009","57600","00213485","0900957600",Orange,Orange town,"43",T1,G4040,"720","75700",,A,"44498764","616353","+41.2849513","-073.0246368"
"09","009","78740","00213522","0900978740",Wallingford,Wallingford town,"43",T1,G4040,"720","75700",,A,"101433656","2148347","+41.4586575","-072.8045163"
"09","009","80070","00213525","0900980070",Waterbury,Waterbury town,"43",T5,G4040,"720","78700",,C,"73861760","1093829","+41.5585001","-073.0366845"
"09","009","82870","00213530","0900982870",West Haven,West Haven town,"43",T5,G4040,"720","75700",,C,"27842630","431797","+41.2721212","-072.9674973"
"09","007","81680","00213528","0900781680",Westbrook,Westbrook town,"43",T1,G4040,"720","75700",,A,"40843930","14954929","+41.3036945","-072.4780169"
"09","007","00000","00000000","0900700000",County subdivisions not defined,County subdivisions not defined,"00",Z9,G4040,,,,F,"0","106907065","+41.2247864","-072.4370409"
"09","007","19130","00213417","0900719130",Deep River,Deep River town,"43",T1,G4040,"720","75700",,A,"35001764","1684244","+41.3678191","-072.4774422"
"09","007","22280","02378251","0900722280",East Haddam,East Haddam town,"43",T1,G4040,"790","73450",,A,"140516009","6033783","+41.4766614","-072.3921201"
"09","007","22490","00213423","0900722490",East Hampton,East Hampton town,"43",T1,G4040,"790","73450",,A,"92335617","3227660","+41.5677366","-072.5095441"
"09","011","06820","00213394","0901106820",Bozrah,Bozrah town,"43",T1,G4040,,"76450",,A,"51708109","723331","+41.5450583","-072.1752280"
"09","011","15910","00213409","0901115910",Colchester,Colchester town,"43",T1,G4040,"790","73450",,A,"126766631","2074992","+41.5572706","-072.3442470"
"09","011","23400","00213426","0901123400",East Lyme,East Lyme town,"43",T1,G4040,,"76450",,A,"88104875","20659366","+41.3560679","-072.2298414"
"09","011","29910","00213431","0901129910",Franklin,Franklin town,"43",T1,G4040,,"76450",,A,"51049943","222178","+41.6212115","-072.1426091"
"09","011","33900","00213436","0901133900",Griswold,Griswold town,"43",T1,G4040,,"76450",,A,"89897144","6104029","+41.5847725","-071.9210907"
"09","011","34250","00213437","0901134250",Groton,Groton town,"43",T1,G4040,,"76450",,A,"80573153","36707531","+41.3477177","-072.0313446"
"09","011","44210","00213453","0901144210",Lyme,Lyme town,"43",T1,G4040,,"76450",,A,"82353554","6919728","+41.3986146","-072.3315456"
"09","011","48900","00213464","0901148900",Montville,Montville town,"43",T1,G4040,,"76450",,A,"108665036","5783813","+41.4638999","-072.1555701"
"09","011","55500","00213480","0901155500",North Stonington,North Stonington town,"43",T1,G4040,,"76450",,A,"140501875","1868223","+41.4709693","-071.8725254"
"09","011","56270","00213482","0901156270",Norwich,Norwich town,"43",T5,G4040,,"76450",,C,"72680185","3483833","+41.5480059","-072.0894538"
"09","007","26270","00213428","0900726270",Essex,Essex town,"43",T1,G4040,"720","75700",,A,"26942175","3764185","+41.3498623","-072.4133829"
"09","007","35230","00213439","0900735230",Haddam,Haddam town,"43",T1,G4040,"790","73450",,A,"113796056","6074386","+41.4808086","-072.5486358"
"09","007","40710","00213448","0900740710",Killingworth,Killingworth town,"43",T1,G4040,"720","75700",,A,"91506573","1170681","+41.3744187","-072.5783279"
"09","011","62150","00213492","0901162150",Preston,Preston town,"43",T1,G4040,,"76450",,A,"79848697","2360639","+41.5186523","-072.0065973"
"09","007","47080","00213460","0900747080",Middlefield,Middlefield town,"43",T1,G4040,"720","75700",,A,"32759592","1581755","+41.5141630","-072.7178435"
"09","007","57320","00213484","0900757320",Old Saybrook,Old Saybrook town,"43",T1,G4040,"720","75700",,A,"39003140","16915075","+41.2935043","-072.3835936"
"09","007","61800","00213491","0900761800",Portland,Portland town,"43",T1,G4040,"790","73450",,A,"60476326","3896302","+41.5988341","-072.5890710"
"09","007","47360","00213461","0900747360",Middletown,Middletown town,"43",T5,G4040,"790","73450",,C,"106235852","3488224","+41.5486107","-072.6567838"
"09","013","06260","00213393","0901306260",Bolton,Bolton town,"43",T1,G4040,"790","73450",,A,"37314557","766251","+41.7645891","-072.4375753"
"09","013","25360","00212330","0901325360",Ellington,Ellington town,"43",T1,G4040,"790","73450",,A,"88215483","1380866","+41.9141491","-072.4455676"
"09","013","37910","00213445","0901337910",Hebron,Hebron town,"43",T1,G4040,"790","73450",,A,"95557617","904946","+41.6585843","-072.3934198"
"09","013","69220","00212346","0901369220",Somers,Somers town,"43",T1,G4040,"790","78100",,A,"73701162","304027","+41.9926327","-072.4537254"
"09","013","72090","00212349","0901372090",Stafford,Stafford town,"43",T1,G4040,"790","73450",,A,"150316815","1868958","+41.9838788","-072.3075745"
"09","013","76290","00212667","0901376290",Tolland,Tolland town,"43",T1,G4040,"790","73450",,A,"102633514","1630211","+41.8830194","-072.3588694"
"09","013","77830","00213519","0901377830",Union,Union town,"43",T1,G4040,"790","73450",,A,"74720104","2514328","+41.9998845","-072.1622435"
"09","013","78250","00213520","0901378250",Vernon,Vernon town,"43",T1,G4040,"790","73450",,A,"45836697","988545","+41.8375605","-072.4590404"
"09","013","85950","00213534","0901385950",Willington,Willington town,"43",T1,G4040,"790","73450",,A,"86230085","582494","+41.8972671","-072.2518477"
"09","015","86790","00213537","0901586790",Windham,Windham town,"43",T1,G4040,"790","79300",,A,"69533870","2148923","+41.7144745","-072.1686670"
"09","005","60750","00213489","0900560750",Plymouth,Plymouth town,"43",T1,G4040,"790","73450",,A,"56650624","1199855","+41.6663915","-073.0265164"
"09","009","46940","00213459","0900946940",Middlebury,Middlebury town,"43",T1,G4040,"720","78700",,A,"45988511","1785060","+41.5246912","-073.1230162"
"09","009","47535","00213462","0900947535",Milford,Milford town,"43",T5,G4040,"720","71950",,C,"57444044","10216676","+41.2250861","-073.0611101"
"09","009","58300","00213486","0900958300",Oxford,Oxford town,"43",T1,G4040,"720","71950",,A,"84809656","1525206","+41.4440326","-073.1482350"
"09","011","57040","00213483","0901157040",Old Lyme,Old Lyme town,"43",T1,G4040,,"76450",,A,"59605004","15039277","+41.3123196","-072.3057421"
"09","011","73770","00213513","0901173770",Stonington,Stonington town,"43",T1,G4040,,"76450",,A,"100076165","29643941","+41.3635101","-071.9113676"
"09","015","67400","00213501","0901567400",Scotland,Scotland town,"43",T1,G4040,"790","79300",,A,"48254391","131514","+41.6976356","-072.0872886"
"09","011","52350","00213473","0901152350",New London,New London town,"43",T5,G4040,,"76450",,C,"14558137","12911245","+41.3329572","-072.0961765"
"09","009","01220","00213383","0900901220",Ansonia,Ansonia town,"43",T5,G4040,"720","71950",,C,"15588608","435200","+41.3442494","-073.0698254"
"09","009","04580","00213389","0900904580",Bethany,Bethany town,"43",T1,G4040,"720","75700",,A,"54564789","996204","+41.4229640","-072.9941871"
"09","009","07310","00213395","0900907310",Branford,Branford town,"43",T1,G4040,"720","75700",,A,"56568416","15930118","+41.2799489","-072.7859502"
"09","009","34950","00213438","0900934950",Guilford,Guilford town,"43",T1,G4040,"720","75700",,A,"121933333","6858340","+41.3390318","-072.7060901"
"09","009","14160","00213406","0900914160",Cheshire,Cheshire town,"43",T1,G4040,"720","75700",,A,"85035914","1254329","+41.5118273","-072.9036174"
"09","009","19550","00213418","0900919550",Derby,Derby town,"43",T5,G4040,"720","71950",,C,"13094124","906368","+41.3261239","-073.0825739"
"09","009","22910","00213425","0900922910",East Haven,East Haven town,"43",T1,G4040,"720","75700",,A,"31847384","3115993","+41.2934528","-072.8589937"
"09","003","12270","00213404","0900312270",Canton,Canton town,"43",T1,G4040,"790","73450",,A,"63676508","1137667","+41.8587259","-072.9108619"
"09","009","67610","00213502","0900967610",Seymour,Seymour town,"43",T1,G4040,"720","71950",,A,"37600679","1190094","+41.3854655","-073.0836408"
"09","001","00000","00000000","0900100000",County subdivisions not defined,County subdivisions not defined,"00",Z9,G4040,,,,F,"0","302385073","+41.0779471","-073.2165184"
"09","001","56060","00213481","0900156060",Norwalk,Norwalk town,"43",T5,G4040,"720","71950",,C,"59275234","34928558","+41.0927388","-073.4197955"
"09","001","04720","00213390","0900104720",Bethel,Bethel town,"43",T1,G4040,"720","72850",,A,"43918190","156161","+41.3697777","-073.3895032"
"09","001","08070","00213396","0900108070",Bridgeport,Bridgeport town,"43",T5,G4040,"720","71950",,C,"41606638","8705768","+41.1873933","-073.1957567"
"09","001","08980","00213399","0900108980",Brookfield,Brookfield town,"43",T1,G4040,"720","72850",,A,"51115716","1541624","+41.4704024","-073.3947599"
"09","001","18500","00213415","0900118500",Danbury,Danbury town,"43",T5,G4040,"720","72850",,C,"108855293","5807119","+41.3987408","-073.4781032"
"09","001","18850","00213416","0900118850",Darien,Darien town,"43",T1,G4040,"720","71950",,A,"32774485","28026885","+41.0521498","-073.4797138"
"09","001","23890","00213427","0900123890",Easton,Easton town,"43",T1,G4040,"720","71950",,A,"71026086","3231994","+41.2649447","-073.3004792"
"09","001","26620","00213429","0900126620",Fairfield,Fairfield town,"43",T1,G4040,"720","71950",,A,"77447781","3827261","+41.1759399","-073.2720460"
"09","001","33620","00213435","0900133620",Greenwich,Greenwich town,"43",T1,G4040,"720","71950",,A,"123597678","50732031","+41.0453658","-073.6340183"
"09","001","48620","00213463","0900148620",Monroe,Monroe town,"43",T1,G4040,"720","71950",,A,"67522443","511097","+41.3392358","-073.2228275"
"09","001","50580","00213468","0900150580",New Canaan,New Canaan town,"43",T1,G4040,"720","71950",,A,"57484080","851635","+41.1603930","-073.5001238"
"09","001","50860","00213469","0900150860",New Fairfield,New Fairfield town,"43",T1,G4040,"720","72850",,A,"52889968","12149364","+41.4803182","-073.4868629"
"09","001","52980","00213475","0900152980",Newtown,Newtown town,"43",T1,G4040,"720","72850",,A,"148996255","3653731","+41.3995034","-073.2939820"
"09","001","63970","00213496","0900163970",Ridgefield,Ridgefield town,"43",T1,G4040,"720","71950",,A,"89355361","1289098","+41.3176745","-073.4998370"
"09","001","68170","00213504","0900168170",Shelton,Shelton town,"43",T5,G4040,"720","71950",,C,"79334981","3292855","+41.3045774","-073.1392153"
"09","001","68310","00213505","0900168310",Sherman,Sherman town,"43",T1,G4040,"720","72850",,A,"56757602","3967080","+41.5794184","-073.4976901"
"09","001","73070","00213511","0900173070",Stamford,Stamford town,"43",T5,G4040,"720","71950",,C,"97428717","37325590","+41.0796114","-073.5460803"
"09","001","74190","00213514","0900174190",Stratford,Stratford town,"43",T1,G4040,"720","71950",,A,"45275804","6309951","+41.2056875","-073.1279855"
"09","001","77200","00213518","0900177200",Trumbull,Trumbull town,"43",T1,G4040,"720","71950",,A,"60189111","623554","+41.2728914","-073.2118988"
"09","001","83430","00213531","0900183430",Weston,Weston town,"43",T1,G4040,"720","71950",,A,"51211664","2333476","+41.2274128","-073.3670614"
"09","001","83500","00213532","0900183500",Westport,Westport town,"43",T1,G4040,"720","71950",,A,"51695168","34950171","+41.1208312","-073.3434638"
"09","001","86370","00213535","0900186370",Wilton,Wilton town,"43",T1,G4040,"720","71950",,A,"69376751","1276100","+41.2112771","-073.4409775"
"09","001","63480","00213495","0900163480",Redding,Redding town,"43",T1,G4040,"720","71950",,A,"81529023","1404737","+41.3054148","-073.3925837"
