STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"09","009","00000","00000000","0900900000",County subdivisions not defined,County subdivisions not defined,"00",Z9,G4040,,,,F,"0","599104135","+41.1874659","-072.8153339"
"09","009","44560","00213454","0900944560",Madison,Madison town,"43",T1,G4040,"720","75700",,A,"93622111","1251400","+41.3444788","-072.6245426"
"09","009","69640","00213507","0900969640",Southbury,Southbury town,"43",T1,G4040,"720","71950",,A,"101023391","2743300","+41.4759861","-073.2296919"
"09","009","62290","00213493","0900962290",Prospect,Prospect town,"43",T1,G4040,"720","78700",,A,"36781442","626715","+41.4992466","-072.9756339"
"09","003","37140","00213443","0900337140",Hartland,Hartland town,"43",T1,G4040,"790","73450",,A,"85456173","3932194","+42.0012054","-072.9540266"
"09","003","44700","00213455","0900344700",Manchester,Manchester town,"43",T1,G4040,"790","73450",,A,"70974997","718083","+41.7752402","-072.5244340"
"09","003","50440","00213467","0900350440",New Britain,New Britain town,"43",T5,G4040,"790","73450",,C,"34694285","187384","+41.6765545","-072.7861613"
"09","003","52140","00213472","0900352140",Newington,Newington town,"43",T1,G4040,"790","73450",,A,"34034098","0","+41.6869933","-072.7308386"
"09","003","60120","00213488","0900360120",Plainville,Plainville town,"43",T1,G4040,"790","73450",,A,"25139797","191859","+41.6739923","-072.8544338"
"09","003","68940","00213506","0900368940",Simsbury,Simsbury town,"43",T1,G4040,"790","73450",,A,"87883318","951746","+41.8725296","-072.8284382"
"09","003","70550","00213508","0900370550",Southington,Southington town,"43",T1,G4040,"790","73450",,A,"92923146","1934050","+41.6071597","-072.8787599"
"09","003","71390","00213509","0900371390",South Windsor,South Windsor town,"43",T1,G4040,"790","73450",,A,"72668282","1572283","+41.8380902","-072.5778358"
"09","003","82590","00213529","0900382590",West Hartford,West Hartford town,"43",T1,G4040,"790","73450",,A,"56560149","1096521","+41.7665678","-072.7549436"
"09","003","84900","00213533","0900384900",Wethersfield,Wethersfield town,"43",T1,G4040,"790","73450",,A,"31862532","2071398","+41.7024837","-072.6693014"
"09","003","87000","00212354","0900387000",Windsor,Windsor town,"43",T1,G4040,"790","73450",,A,"76443198","3749674","+41.8710365","-072.6750825"
"09","003","87070","00212355","0900387070",Windsor Locks,Windsor Locks town,"43",T1,G4040,"790","78100",,A,"23371117","885163","+41.9277901","-072.6516158"
"09","009","87700","00213539","0900987700",Woodbridge,Woodbridge town,"43",T1,G4040,"720","71950",,A,"48722327","971942","+41.3635362","-073.0038907"
"09","003","32640","00213434","0900332640",Granby,Granby town,"43",T1,G4040,"790","73450",,A,"105449930","351359","+41.9714800","-072.8301588"
"09","005","02760","00213386","0900502760",Barkhamsted,Barkhamsted town,"43",T1,G4040,"790","73450",,A,"93896736","6671465","+41.9357077","-072.9729214"
"09","007","15350","00213408","0900715350",Clinton,Clinton town,"43",T1,G4040,"720","75700",,A,"41975453","7283328","+41.2951299","-072.5300394"
"09","003","45820","00213457","0900345820",Marlborough,Marlborough town,"43",T1,G4040,"790","73450",,A,"60479197","444481","+41.6364390","-072.4540018"
"09","003","02060","00213385","0900302060",Avon,Avon town,"43",T1,G4040,"790","73450",,A,"59982586","1118863","+41.7871585","-072.8520463"
"09","003","04300","00213388","0900304300",Berlin,Berlin town,"43",T1,G4040,"790","73450",,A,"68147324","1744874","+41.6054510","-072.7784967"
"09","003","05910","00213392","0900305910",Bloomfield,Bloomfield town,"43",T1,G4040,"790","73450",,A,"67562264","430688","+41.8437722","-072.7410015"
"09","003","08490","00213398","0900308490",Bristol,Bristol town,"43",T5,G4040,"790","73450",,C,"68392159","1047480","+41.6815776","-072.9407487"
"09","003","10100","00213401","0900310100",Burlington,Burlington town,"43",T1,G4040,"790","73450",,A,"76927729","1836670","+41.7490794","-072.9486573"
"09","003","22070","00213421","0900322070",East Granby,East Granby town,"43",T1,G4040,"790","73450",,A,"45491074","261880","+41.9297190","-072.7453782"
"09","003","22630","00213424","0900322630",East Hartford,East Hartford town,"43",T1,G4040,"790","73450",,A,"46638316","1904155","+41.7606953","-072.6076462"
"09","003","25990","00212332","0900325990",Enfield,Enfield town,"43",T1,G4040,"790","78100",,A,"86292324","2446885","+41.9839930","-072.5555531"
"09","003","27600","00213430","0900327600",Farmington,Farmington town,"43",T1,G4040,"790","73450",,A,"72265587","2271280","+41.7297737","-072.8420312"
"09","003","31240","00213432","0900331240",Glastonbury,Glastonbury town,"43",T1,G4040,"790","73450",,A,"132758374","2376010","+41.6918834","-072.5521735"
"09","003","37070","00213442","0900337070",Hartford,Hartford town,"43",T5,G4040,"790","73450",,C,"45012647","1751553","+41.7659331","-072.6815789"
"09","009","49950","00213466","0900949950",Naugatuck,Naugatuck town,"43",T5,G4040,"720","78700",,C,"42435044","246553","+41.4877849","-073.0515508"
"09","007","14300","00213407","0900714300",Chester,Chester town,"43",T1,G4040,"720","75700",,A,"41573119","2010913","+41.4117284","-072.4871458"
"09","003","24800","00212329","0900324800",East Windsor,East Windsor town,"43",T1,G4040,"790","78100",,A,"67989003","1466611","+41.9040094","-072.5644729"
"09","015","40500","00213447","0901540500",Killingly,Killingly town,"43",T1,G4040,"715","79600",,A,"125232041","3912894","+41.8299020","-071.8490975"
"09","011","00000","00000000","0901100000",County subdivisions not defined,County subdivisions not defined,"00",Z9,G4040,,,,F,"0","87264461","+41.2546899","-072.2261939"
"09","011","42390","00213449","0901142390",Lebanon,Lebanon town,"43",T1,G4040,"790","79300",,A,"140113258","2986571","+41.6329550","-072.2400896"
"09","011","43230","00213451","0901143230",Lisbon,Lisbon town,"43",T1,G4040,,"76450",,A,"42200264","1018780","+41.6027656","-072.0122612"
"09","015","36000","00213441","0901536000",Hampton,Hampton town,"43",T1,G4040,,,,A,"64988483","1052941","+41.7830301","-072.0645718"
"09","005","04930","00213391","0900504930",Bethlehem,Bethlehem town,"43",T1,G4040,,,,A,"50181138","740227","+41.6357587","-073.2114217"
"09","005","08210","00213397","0900508210",Bridgewater,Bridgewater town,"43",T1,G4040,"720","72850",,A,"42478578","2360514","+41.5202940","-073.3610927"
"09","005","10940","00213402","0900510940",Canaan,Canaan town,"43",T1,G4040,,,,A,"85242555","836406","+41.9629594","-073.3071433"
"09","005","16050","00213410","0900516050",Colebrook,Colebrook town,"43",T1,G4040,"790","78400",,A,"81722366","3551365","+42.0057973","-073.0641841"
"09","015","01430","00213384","0901501430",Ashford,Ashford town,"43",T1,G4040,"790","73450",,A,"100392973","1832456","+41.8971227","-072.1714268"
"09","015","09190","00213400","0901509190",Brooklyn,Brooklyn town,"43",T1,G4040,"715","79600",,A,"75454825","282000","+41.7872432","-071.9574014"
"09","015","12130","00213403","0901512130",Canterbury,Canterbury town,"43",T1,G4040,,"76450",,A,"103456495","683775","+41.6939604","-072.0091181"
"09","015","13810","00213405","0901513810",Chaplin,Chaplin town,"43",T1,G4040,"790","73450",,A,"50222578","352486","+41.7908895","-072.1295395"
"09","005","17240","00213412","0900517240",Cornwall,Cornwall town,"43",T1,G4040,,,,A,"119297429","656783","+41.8480597","-073.3305614"
"09","005","32290","00213433","0900532290",Goshen,Goshen town,"43",T1,G4040,,,,A,"113004839","4028683","+41.8495372","-073.2340016"
"09","005","37280","00213444","0900537280",Harwinton,Harwinton town,"43",T1,G4040,"790","78400",,A,"79759564","896244","+41.7613447","-073.0604432"
"09","005","40290","00213446","0900540290",Kent,Kent town,"43",T1,G4040,,,,A,"125813160","2676631","+41.7297820","-073.4541400"
"09","005","49460","00213465","0900549460",Morris,Morris town,"43",T1,G4040,,,,A,"44961621","3518691","+41.6943231","-073.2099985"
"09","015","21860","00213420","0901521860",Eastford,Eastford town,"43",T1,G4040,"715","79600",,A,"74904508","891568","+41.8955903","-072.0933042"
"09","015","59980","00213487","0901559980",Plainfield,Plainfield town,"43",T1,G4040,"715","79600",,A,"109844074","1480396","+41.6936128","-071.9007755"
"09","015","61030","00213490","0901561030",Pomfret,Pomfret town,"43",T1,G4040,"715","79600",,A,"104451274","647536","+41.8680405","-071.9722603"
"09","005","43370","00213452","0900543370",Litchfield,Litchfield town,"43",T1,G4040,,,,A,"145296074","1831291","+41.7409368","-073.1927510"
